date,state,p,confirmed,city_ibge_code,confirmed_per_100k_inhabitants
2020-04-26,MG,c,2,3146008,
2020-04-26,MG,c,14,3147006,
2020-04-26,MG,c,5,3147105,
2020-04-26,MG,c,4,3147303,
2020-04-26,MG,c,1,3147907,
2020-04-26,MG,c,14,3148004,
2020-04-26,MG,c,19,3148103,
2020-04-26,MG,c,1,3149903,
2020-04-26,MG,c,0,3150406,
2020-04-26,MG,c,1,3151107,
2020-04-26,MG,c,2,3151206,
2020-04-26,MG,c,2,3151503,
2020-04-26,MG,c,1,3151701,
2020-04-26,MG,c,14,3151800,
2020-04-26,MG,c,1,3152303,
2020-04-26,MG,c,24,3152501,
2020-04-26,MG,c,1,3153202,
2020-04-26,MG,c,5,3154606,
2020-04-26,MG,c,11,3156700,
2020-04-26,MG,c,8,3157807,
2020-04-26,MG,c,1,3158003,
2020-04-26,MG,c,3,3158953,
2020-04-26,MG,c,3,3160405,
2020-04-26,MG,c,3,3160702,
2020-04-26,MG,c,2,3160900,
2020-04-26,MG,c,1,3161106,
2020-04-26,MG,c,1,3161601,
2020-04-26,MG,c,2,3162104,
2020-04-26,MG,c,6,3162500,
2020-04-26,MG,c,1,3162906,
2020-04-26,MG,c,2,3162955,
2020-04-26,MG,c,5,3163706,
2020-04-26,MG,c,1,3164209,
2020-04-26,MG,c,2,3164704,
2020-04-26,MG,c,2,3165107,
2020-04-26,MG,c,1,3165537,
2020-04-26,MG,c,5,3165578,
2020-04-26,MG,c,1,3166105,
2020-04-26,MG,c,1,3166808,
2020-04-26,MG,c,6,3167202,
2020-04-26,MG,c,1,3167707,
2020-04-26,MG,c,2,3168606,
2020-04-26,MG,c,8,3168705,
2020-04-26,MG,c,4,3169109,
2020-04-26,MG,c,1,3169356,
2020-04-26,MG,c,2,3169406,
2020-04-26,MG,c,3,3169604,
2020-04-26,MG,c,4,3169901,
2020-04-26,MG,c,49,3170107,
2020-04-26,MG,c,95,3170206,
2020-04-26,MG,c,2,3170404,
2020-04-26,MG,c,12,3170701,
2020-04-26,MG,c,1,3170909,
2020-04-26,MG,c,2,3171006,
2020-04-26,MG,c,0,3171204,
2020-04-26,MG,c,3,3171303,
2020-04-26,MG,s,1548,31,7.31265
2020-04-26,MS,c,1,5000252,
2020-04-26,MS,c,2,5001904,
2020-04-26,MS,c,6,5002001,
2020-04-26,MS,c,125,5002704,
2020-04-26,MS,c,9,5002951,
2020-04-26,MS,c,4,5003207,
2020-04-26,MS,c,1,5003306,
2020-04-26,MS,c,11,5003702,
2020-04-26,MS,c,3,5005202,
2020-04-26,MS,c,1,5005608,
2020-04-26,MS,c,2,5005681,
2020-04-26,MS,c,1,5005707,
2020-04-26,MS,c,11,5006200,
2020-04-26,MS,c,1,5006275,
2020-04-26,MS,c,2,5006309,
2020-04-26,MS,c,1,5006606,
2020-04-26,MS,c,1,5007406,
2020-04-26,MS,c,1,5007802,
2020-04-26,MS,c,1,5007901,
2020-04-26,MS,c,11,5007935,
2020-04-26,MS,c,39,5008305,
2020-04-26,MS,s,234,50,8.42034
